alacritty 0.17.0-1
texlive-basic 2026.1-1
texlive-binextra 2026.1-1
texlive-fontsrecommended 2026.1-1
texlive-latex 2026.1-1
texlive-latexextra 2026.1-1
texlive-latexrecommended 2026.1-1
thefuck 3.32-13
thunar 4.20.9-1
thunar-archive-plugin 0.6.0-1
timeshift 25.12.4-1
timew 1.9.1-1
timg 1.6.3-2
tmux 3.7_c-1
toilet 0.3.r155.3eb9d58-3
tokei 14.0.0-1
translate-shell 0.9.7.1-2
trash-cli 0.24.5.26-3
tree 2.3.2-1
trippy 0.13.0-2
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-fira-code 6.2-4
ttf-jetbrains-mono-nerd 3.5.1-2
ttf-liberation 2.1.5-2
ufw 0.36.2-7
unzip 6.0-23
vim 9.2.1011-1
visidata 3.4-1
visual-studio-code-bin 1.134.0-1
vlc 3.0.23_2-12
vlc-plugins-all 3.0.23_2-12
vulkan-intel 1:26.2.1-1
vulkan-nouveau 1:26.2.1-1
vulkan-radeon 1:26.2.1-1
wget 1.25.0-6
wireplumber 0.5.15-1
woff2-font-awesome 7.3.1-1
wpa_supplicant 2:2.12-1
xclip 0.13-6
xdg-utils 1.2.1-2
xdotool 4.20260303.1-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-nouveau 1.0.18-1
xh 0.26.2-1
xorg-xev 1.2.7-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xset 1.2.6-1
xorg-xsetroot 1.1.4-1
xsettingsd 1.0.4-1
xss-lock 0.4.0-1
xsv 0.13.0-4
xterm 410-1
yarn 1.22.22-2
yay 13.0.1-1
yay-debug 13.0.1-1
yazi 26.8.15-1
yt-dlp 2026.08.19-1
zellij 0.45.0-1
zip 3.0-14
zoxide 0.10.0-1
zram-generator 1.2.1-1
zsh 5.9.2-1
zsh-autosuggestions 0.7.1-1
zsh-completions 0.36.0-1
zsh-syntax-highlighting 0.8.0-2
